Event_Number,Time_seconds,Time_hours,Voltage_Drop_mV,Peak_Voltage_mV,Event_Type,Inter_Event_Interval_s
1,136072,37.797777777777775,-0.194,-0.183,Small,
2,197427,54.840833333333336,-0.193,-0.139,Small,61355.0
3,277790,77.16388888888889,-0.167,-0.042,Small,80363.0
4,279182,77.55055555555556,-0.19699999999999998,-0.211,Small,1392.0
5,307173,85.32583333333334,-0.17700000000000002,-0.139,Small,27991.0
6,310402,86.22277777777778,-0.23099999999999998,0.483,Small,3229.0
7,318480,88.46666666666667,-0.15300000000000002,0.589,Small,8078.0
8,318484,88.46777777777778,-0.15500000000000003,0.078,Small,4.0
9,318485,88.46805555555555,-0.155,-0.077,Small,1.0
10,319601,88.77805555555555,-0.15999999999999998,-0.205,Small,1116.0
11,321932,89.42555555555556,-0.151,-0.292,Small,2331.0
12,331834,92.17611111111111,-0.174,-0.211,Small,9902.0
13,332550,92.375,-0.17900000000000002,-0.197,Small,716.0
14,336846,93.56833333333333,-0.189,-0.243,Small,4296.0
15,359561,99.87805555555556,-0.2,-0.227,Small,22715.0
16,366085,101.69027777777778,-0.151,-0.144,Small,6524.0
17,383029,106.39694444444444,-0.15200000000000002,0.106,Small,16944.0
18,383813,106.61472222222223,-0.251,-0.331,Medium,784.0
19,389724,108.25666666666666,-0.187,-0.207,Small,5911.0
20,395564,109.8788888888889,-0.202,-0.199,Small,5840.0
21,406744,112.98444444444445,-0.159,-0.212,Small,11180.0
22,413759,114.93305555555555,-0.19,-0.234,Small,7015.0
23,414282,115.07833333333333,-0.16099999999999998,-0.246,Small,523.0
24,429455,119.29305555555555,-0.202,-0.219,Small,15173.0
25,429519,119.31083333333333,-0.242,-0.294,Small,64.0
26,438034,121.67611111111111,-0.23900000000000002,-0.384,Small,8515.0
27,445625,123.78472222222223,-0.405,-0.508,Medium,7591.0
28,446931,124.1475,-0.16,-0.14,Small,1306.0
29,446934,124.14833333333333,-0.20700000000000002,-0.383,Small,3.0
30,446935,124.14861111111111,-0.23099999999999998,-0.614,Small,1.0
31,446989,124.16361111111111,-0.194,-0.217,Small,54.0
32,447079,124.18861111111111,-0.185,-0.14,Small,90.0
33,447080,124.18888888888888,-0.22899999999999998,-0.369,Small,1.0
34,449881,124.96694444444445,-0.187,-0.315,Small,2801.0
35,460734,127.98166666666667,-0.248,-0.232,Small,10853.0
36,460735,127.98194444444445,-0.228,-0.46,Small,1.0
37,463397,128.7213888888889,-0.31,-0.324,Medium,2662.0
38,463398,128.72166666666666,-0.187,-0.511,Small,1.0
39,472766,131.3238888888889,-0.199,-0.244,Small,9368.0
40,493693,137.13694444444445,-0.253,-0.295,Medium,20927.0
41,493694,137.13722222222222,-0.189,-0.484,Small,1.0
42,493697,137.13805555555555,-0.19999999999999996,-0.756,Small,3.0
