Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
164784,-0.024,0.037,0.006,-0.12,0.029
164785,-0.026,0.038,0.011,-0.066,0.038
164786,-0.03,0.026,0.006,-0.223,0.097
164787,-0.039,0.019,0.011,-0.082,0.048
164788,-0.038,0.029,0.011,-0.171,0.111
164789,-0.031,0.037,0.011,-0.189,0.084
164790,-0.034,0.054,0.008,-0.186,0.118
164791,-0.039,0.055,0.006,-0.272,0.13
164792,-0.035,0.056,0.005,-0.144,0.039
164793,-0.027,0.047,0.009,-0.186,0.106
164794,-0.016,0.038,0.007,-0.111,0.029
164795,-0.023,0.039,0.008,-0.204,0.111
164796,-0.033,0.04,0.008,-0.069,0.015
164797,-0.047,0.044,0.006,-0.24,0.125
164798,-0.047,0.046,0.006,-0.092,0.015
164799,-0.043,0.046,0.009,-0.162,0.076
164800,-0.038,0.044,0.011,-0.115,0.084
164801,-0.033,0.041,0.007,-0.178,0.054
164802,-0.033,0.036,0.009,-0.048,0.059
164803,-0.03,0.035,0.006,-0.223,0.121
164804,-0.024,0.027,0.008,-0.064,0.011
164805,-0.02,0.028,0.009,-0.214,0.115
164806,-0.024,0.028,0.007,-0.253,0.133
164807,-0.028,0.044,0.006,-0.111,0.025
164808,-0.035,0.05,0.009,-0.218,0.124
164809,-0.037,0.038,0.007,-0.258,0.118
164810,-0.033,0.025,0.009,-0.181,0.098
164811,-0.035,0.0,0.005,-0.281,0.13
164812,-0.031,-0.003,0.004,-0.234,0.092
164813,-0.026,0.028,0.004,-0.151,0.037
164814,-0.024,0.047,0.007,-0.053,0.0
164815,-0.023,0.053,0.009,-0.193,0.114
164816,-0.026,0.039,0.007,-0.086,0.013
164817,-0.024,0.043,0.012,-0.078,0.05
164818,-0.031,0.036,0.006,-0.216,0.098
164819,-0.036,0.036,0.011,-0.092,0.056
164820,-0.04,0.04,0.009,-0.234,0.127
164821,-0.04,0.033,0.007,-0.114,0.038
164822,-0.036,0.019,0.008,-0.221,0.118
