Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV,Inter_Spike_Interval_s,Spike_Category
1,164785,-0.157,-0.223,,Small
2,164796,-0.17099999999999999,-0.24,11.0,Small
3,164802,-0.175,-0.223,6.0,Small
4,164850,-0.181,-0.238,48.0,Medium
5,164869,-0.154,-0.18,19.0,Small
6,164886,-0.19,-0.256,17.0,Medium
7,164892,-0.15200000000000002,-0.229,6.0,Small
8,164900,-0.17300000000000001,-0.203,8.0,Small
9,164906,-0.179,-0.24,6.0,Small
10,164912,-0.179,-0.212,6.0,Small
11,164915,-0.152,-0.212,3.0,Small
12,164935,-0.203,-0.246,20.0,Medium
13,164940,-0.176,-0.216,5.0,Small
14,164945,-0.195,-0.227,5.0,Medium
15,164956,-0.189,-0.226,11.0,Medium
16,164963,-0.16300000000000003,-0.234,7.0,Small
17,164966,-0.183,-0.225,3.0,Medium
18,164970,-0.19499999999999998,-0.237,4.0,Medium
19,164975,-0.188,-0.235,5.0,Medium
20,164978,-0.192,-0.242,3.0,Medium
21,164982,-0.21400000000000002,-0.233,4.0,Large
22,165006,-0.2,-0.267,24.0,Medium
23,165021,-0.18,-0.237,15.0,Medium
24,165023,-0.195,-0.239,2.0,Medium
25,165041,-0.16899999999999998,-0.235,18.0,Small
26,165043,-0.187,-0.24,2.0,Medium
27,165053,-0.226,-0.231,10.0,Large
28,165077,-0.179,-0.204,24.0,Small
29,165089,-0.166,-0.231,12.0,Small
30,165105,-0.16799999999999998,-0.212,16.0,Small
31,165121,-0.164,-0.201,16.0,Small
32,165130,-0.17,-0.232,9.0,Small
33,165134,-0.175,-0.235,4.0,Small
34,165137,-0.159,-0.201,3.0,Small
35,165145,-0.154,-0.218,8.0,Small
36,165147,-0.19799999999999998,-0.238,2.0,Medium
37,165153,-0.191,-0.241,6.0,Medium
38,165161,-0.164,-0.231,8.0,Small
39,165176,-0.16899999999999998,-0.244,15.0,Small
40,165208,-0.15600000000000003,-0.227,32.0,Small
41,165216,-0.15699999999999997,-0.241,8.0,Small
42,165220,-0.19,-0.231,4.0,Medium
43,165222,-0.164,-0.224,2.0,Small
44,165233,-0.191,-0.216,11.0,Medium
45,165242,-0.17500000000000002,-0.273,9.0,Small
46,165245,-0.163,-0.225,3.0,Small
47,165253,-0.168,-0.197,8.0,Small
48,165263,-0.184,-0.241,10.0,Medium
49,165265,-0.182,-0.255,2.0,Medium
50,165278,-0.16300000000000003,-0.281,13.0,Small
51,165303,-0.202,-0.223,25.0,Medium
52,165306,-0.179,-0.248,3.0,Small
53,165310,-0.17200000000000001,-0.228,4.0,Small
54,165332,-0.179,-0.213,22.0,Small
55,165334,-0.184,-0.232,2.0,Medium
56,165342,-0.176,-0.178,8.0,Small
57,165365,-0.21400000000000002,-0.231,23.0,Large
58,165374,-0.21800000000000003,-0.28,9.0,Large
59,165377,-0.17800000000000002,-0.23,3.0,Small
60,165380,-0.189,-0.232,3.0,Medium
61,165382,-0.167,-0.22,2.0,Small
62,165396,-0.187,-0.247,14.0,Medium
63,165400,-0.154,-0.209,4.0,Small
64,165403,-0.16100000000000003,-0.232,3.0,Small
65,165409,-0.166,-0.224,6.0,Small
66,165412,-0.154,-0.194,3.0,Small
67,165415,-0.195,-0.212,3.0,Medium
68,165417,-0.17800000000000002,-0.233,2.0,Small
69,165422,-0.186,-0.235,5.0,Medium
70,165428,-0.215,-0.255,6.0,Large
71,165432,-0.162,-0.26,4.0,Small
72,165441,-0.174,-0.239,9.0,Small
73,165443,-0.191,-0.266,2.0,Medium
74,165468,-0.187,-0.25,25.0,Medium
75,165484,-0.176,-0.209,16.0,Small
76,165487,-0.20500000000000002,-0.233,3.0,Medium
77,165492,-0.20400000000000001,-0.261,5.0,Medium
78,165496,-0.20299999999999999,-0.237,4.0,Medium
79,165504,-0.186,-0.271,8.0,Medium
80,165512,-0.163,-0.223,8.0,Small
81,165516,-0.197,-0.214,4.0,Medium
82,165527,-0.16599999999999998,-0.245,11.0,Small
83,165529,-0.157,-0.252,2.0,Small
84,165531,-0.174,-0.211,2.0,Small
85,165558,-0.186,-0.234,27.0,Medium
86,165564,-0.16299999999999998,-0.206,6.0,Small
87,165580,-0.195,-0.224,16.0,Medium
88,165584,-0.187,-0.244,4.0,Medium
89,165592,-0.191,-0.208,8.0,Medium
90,165594,-0.16399999999999998,-0.212,2.0,Small
91,165612,-0.15900000000000003,-0.262,18.0,Small
92,165614,-0.182,-0.249,2.0,Medium
93,165623,-0.17400000000000002,-0.203,9.0,Small
