Noise_Level,Model,Shannon_Entropy,Mutual_Information,Activity_Level
0.0,Random,0.4761219292696596,0.0006432158319965478,0.1024
0.05,Random,0.5918893773062959,0.00011066576201289582,0.14304
0.1,Random,0.6837930851355981,0.0003379887825127524,0.18176
0.15,Random,0.7531711181437502,0.0002833616221041589,0.21656
0.2,Random,0.8170509494909497,0.0001132329112875755,0.25368
0.25,Random,0.8882293179873196,9.205867228180639e-05,0.306
0.3,Random,0.9299393985986295,0.00010842419420033327,0.34592
0.0,Boolean,0.0,0.0,1.0
0.05,Boolean,0.2805625648908072,0.00011310775097682555,0.95136
0.1,Boolean,0.4787030898823398,0.0001668261575507028,0.89688
0.15,Boolean,0.6041640131967154,0.0006210697749195035,0.8521599999999999
0.2,Boolean,0.7165545849693371,0.0003746281125802433,0.80256
0.25,Boolean,0.8161562605357471,0.0001255991854905614,0.74672
0.3,Boolean,0.8919512454520173,0.00034859259822092337,0.6908799999999999
0.0,Syntactic,0.9279911871949548,0.04193229600639934,0.34984
0.05,Syntactic,0.9338414512832649,0.004206291015037832,0.6475199999999999
0.1,Syntactic,0.7467032748241478,0.0008130182591573566,0.77976
0.15,Syntactic,0.6265070842705052,0.00032306111903762115,0.8428799999999999
0.2,Syntactic,0.751084562259712,9.736747763890589e-05,0.7847200000000001
0.25,Syntactic,0.8658193001195915,0.0004142155018568605,0.7119199999999999
0.3,Syntactic,0.9435726084579459,0.00021212200128545457,0.6381600000000001
