Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV
1,164785,-0.157,-0.223
2,164796,-0.17099999999999999,-0.24
3,164802,-0.175,-0.223
4,164850,-0.181,-0.238
5,164869,-0.154,-0.18
6,164886,-0.19,-0.256
7,164892,-0.15200000000000002,-0.229
8,164900,-0.17300000000000001,-0.203
9,164906,-0.179,-0.24
10,164912,-0.179,-0.212
11,164915,-0.152,-0.212
12,164935,-0.203,-0.246
13,164940,-0.176,-0.216
14,164945,-0.195,-0.227
15,164956,-0.189,-0.226
16,164963,-0.16300000000000003,-0.234
17,164966,-0.183,-0.225
18,164970,-0.19499999999999998,-0.237
19,164975,-0.188,-0.235
20,164978,-0.192,-0.242
21,164982,-0.21400000000000002,-0.233
22,165006,-0.2,-0.267
23,165021,-0.18,-0.237
24,165023,-0.195,-0.239
25,165041,-0.16899999999999998,-0.235
26,165043,-0.187,-0.24
27,165053,-0.226,-0.231
28,165077,-0.179,-0.204
29,165089,-0.166,-0.231
30,165105,-0.16799999999999998,-0.212
31,165121,-0.164,-0.201
32,165130,-0.17,-0.232
33,165134,-0.175,-0.235
34,165137,-0.159,-0.201
35,165145,-0.154,-0.218
36,165147,-0.19799999999999998,-0.238
37,165153,-0.191,-0.241
38,165161,-0.164,-0.231
39,165176,-0.16899999999999998,-0.244
40,165208,-0.15600000000000003,-0.227
41,165216,-0.15699999999999997,-0.241
42,165220,-0.19,-0.231
43,165222,-0.164,-0.224
44,165233,-0.191,-0.216
45,165242,-0.17500000000000002,-0.273
46,165245,-0.163,-0.225
47,165253,-0.168,-0.197
48,165263,-0.184,-0.241
49,165265,-0.182,-0.255
50,165278,-0.16300000000000003,-0.281
51,165303,-0.202,-0.223
52,165306,-0.179,-0.248
53,165310,-0.17200000000000001,-0.228
54,165332,-0.179,-0.213
55,165334,-0.184,-0.232
56,165342,-0.176,-0.178
57,165365,-0.21400000000000002,-0.231
58,165374,-0.21800000000000003,-0.28
59,165377,-0.17800000000000002,-0.23
60,165380,-0.189,-0.232
61,165382,-0.167,-0.22
62,165396,-0.187,-0.247
63,165400,-0.154,-0.209
64,165403,-0.16100000000000003,-0.232
65,165409,-0.166,-0.224
66,165412,-0.154,-0.194
67,165415,-0.195,-0.212
68,165417,-0.17800000000000002,-0.233
69,165422,-0.186,-0.235
70,165428,-0.215,-0.255
71,165432,-0.162,-0.26
72,165441,-0.174,-0.239
73,165443,-0.191,-0.266
74,165468,-0.187,-0.25
75,165484,-0.176,-0.209
76,165487,-0.20500000000000002,-0.233
77,165492,-0.20400000000000001,-0.261
78,165496,-0.20299999999999999,-0.237
79,165504,-0.186,-0.271
80,165512,-0.163,-0.223
81,165516,-0.197,-0.214
82,165527,-0.16599999999999998,-0.245
83,165529,-0.157,-0.252
84,165531,-0.174,-0.211
85,165558,-0.186,-0.234
86,165564,-0.16299999999999998,-0.206
87,165580,-0.195,-0.224
88,165584,-0.187,-0.244
89,165592,-0.191,-0.208
90,165594,-0.16399999999999998,-0.212
91,165612,-0.15900000000000003,-0.262
92,165614,-0.182,-0.249
93,165623,-0.17400000000000002,-0.203
94,165631,-0.16199999999999998,-0.246
95,165638,-0.174,-0.219
96,165641,-0.22,-0.253
97,165643,-0.172,-0.211
98,165700,-0.157,-0.208
99,165706,-0.16200000000000003,-0.233
100,165710,-0.152,-0.191
101,165721,-0.182,-0.214
102,165731,-0.164,-0.22
103,165743,-0.161,-0.253
104,165762,-0.16499999999999998,-0.213
105,165772,-0.193,-0.22
106,165774,-0.203,-0.249
107,165776,-0.20199999999999999,-0.237
108,165796,-0.199,-0.252
109,165803,-0.168,-0.224
110,165811,-0.15600000000000003,-0.232
111,165822,-0.187,-0.245
112,165844,-0.182,-0.214
113,165846,-0.189,-0.233
114,165853,-0.161,-0.194
115,165857,-0.192,-0.227
116,165866,-0.19699999999999998,-0.209
117,165881,-0.185,-0.22
118,165883,-0.167,-0.225
119,165885,-0.163,-0.198
120,165887,-0.20400000000000001,-0.255
121,165891,-0.231,-0.249
122,165894,-0.169,-0.234
123,165902,-0.174,-0.252
124,165941,-0.165,-0.223
125,165944,-0.20900000000000002,-0.232
126,165951,-0.163,-0.189
127,165957,-0.16499999999999998,-0.179
128,165961,-0.207,-0.242
129,165966,-0.159,-0.223
130,165970,-0.164,-0.25
131,165972,-0.163,-0.186
132,165988,-0.189,-0.223
133,165995,-0.16000000000000003,-0.234
134,165997,-0.183,-0.252
135,166011,-0.194,-0.254
136,166017,-0.198,-0.234
137,166020,-0.18,-0.222
138,166036,-0.17099999999999999,-0.241
139,166038,-0.186,-0.237
140,166058,-0.175,-0.212
141,166080,-0.16999999999999998,-0.25
142,166082,-0.19999999999999998,-0.241
143,166085,-0.15300000000000002,-0.227
144,166088,-0.168,-0.222
145,166091,-0.194,-0.24
146,166101,-0.156,-0.175
147,166107,-0.185,-0.252
148,166114,-0.211,-0.25
149,166123,-0.192,-0.258
150,166126,-0.18199999999999997,-0.282
151,166138,-0.176,-0.21
152,166145,-0.193,-0.228
153,166156,-0.179,-0.214
154,166164,-0.173,-0.216
155,166185,-0.188,-0.2
156,166194,-0.22,-0.248
157,166197,-0.178,-0.224
158,166202,-0.168,-0.256
159,166208,-0.162,-0.257
160,166212,-0.19,-0.259
161,166217,-0.205,-0.247
162,166226,-0.19999999999999998,-0.242
163,166250,-0.198,-0.222
164,166263,-0.188,-0.203
165,166273,-0.18,-0.23
166,166275,-0.19599999999999998,-0.236
167,166277,-0.197,-0.242
